Date,Open,High,Low,Close,Volume
2025-02-28,22409.25,22551.43,22329.06,22551.43,119058512
2025-03-03,22682.95,23307.97,22531.6,23147.02,93856779
2025-03-04,22852.72,22869.92,22320.07,22326.81,108160073
2025-03-05,22804.81,23176.39,22790.89,23081.03,143963504
2025-03-06,23245.34,23475.88,23061.57,23419.48,149033328
2025-03-07,23195.22,23234.28,22860.08,23008.94,106635079
2025-03-10,23163.78,23164.24,22519.21,22620.95,108707032
2025-03-11,22680.39,22835.1,22258.3,22328.77,97374759
2025-03-12,22525.74,22813.84,22461.77,22676.41,80929093
2025-03-13,22578.1,22752.83,22417.52,22567.14,78955580
2025-03-14,22501.34,23049.48,22465.12,22986.82,93287423
2025-03-17,22998.53,23154.57,22933.57,23154.57,67151958
2025-03-18,23266.65,23476.01,23240.56,23380.7,80663343
2025-03-19,23272.15,23372.08,23136.54,23288.06,79641371
2025-03-20,23295.72,23315.49,22819.76,22999.15,92465760
2025-03-21,22926.42,22956.98,22723.19,22891.68,146780701
2025-03-24,23075.76,23137.48,22813.11,22852.66,66759290
2025-03-25,22913.42,23182.78,22845.52,23109.79,60671100
2025-03-26,23202.25,23204.59,22826.37,22839.03,57800034
2025-03-27,22574.46,22740.47,22469.88,22678.74,74817476
2025-03-28,22558.84,22614.96,22377.91,22461.52,81650762
2025-03-31,22253.05,22320.02,21978.46,22163.49,83869142
2025-04-01,22343.41,22573.71,22297.37,22539.98,67890113
2025-04-02,22483.93,22485.41,22139.27,22390.84,61146867
2025-04-03,21842.08,22147.45,21670.96,21717.39,117129291
2025-04-04,21543.47,21642.17,20437.37,20641.72,188111402
2025-04-07,18751.75,20799.68,18489.91,19789.62,246456413
2025-04-08,20039.69,20468.43,19884.48,20280.26,137321858
2025-04-09,19833.56,20025.38,19384.39,19670.88,141645251
2025-04-10,21207.76,21300.31,20562.73,20562.73,135458883
2025-04-11,20787.06,20796.45,20114.54,20374.1,100475675
2025-04-14,20802.42,21048.33,20698.91,20954.83,74524540
2025-04-15,21076.06,21288.12,21042.27,21253.7,66925418
2025-04-16,21117.78,21315.96,20956.38,21311.02,62776351
2025-04-17,21433.55,21436.66,21142.26,21205.86,66669868
2025-04-22,21150.54,21296.91,21044.61,21293.53,62154762
2025-04-23,21801.66,22043.75,21722.84,21961.97,88573217
2025-04-24,21890.1,22081.52,21731.79,22064.51,62636793
2025-04-25,22210.51,22318.36,22078.34,22242.45,70917436
2025-04-28,22339.89,22443.41,22255.33,22271.67,55883239
2025-04-29,22377.17,22455.68,22319.28,22425.83,75547126
2025-04-30,22520.49,22607.32,22235.74,22496.98,99189750
2025-05-02,22818.18,23086.65,22764.51,23086.65,84456332
2025-05-05,23064.26,23364.24,23064.26,23344.54,48831913
2025-05-06,23387.35,23389.86,22861.4,23249.65,67337442
2025-05-07,23252.95,23300.88,23100.93,23115.96,66669807
2025-05-08,23265.77,23408.5,23238.46,23352.69,68153319
2025-05-09,23480.38,23543.27,23428.88,23499.32,69225643
2025-05-12,23758.58,23911.98,23361.72,23566.54,92750029
2025-05-13,23583.74,23649.88,23543.05,23638.56,79961479
2025-05-14,23679.03,23702.2,23444.41,23527.01,80368921
2025-05-15,23422.18,23696.68,23338.89,23695.59,74787572
2025-05-16,23775.68,23887.14,23664.39,23767.43,71976607
2025-05-19,23705.93,23935.09,23676.35,23934.98,47855623
2025-05-20,24004.39,24082.48,23898.85,24036.11,66388290
2025-05-21,23966.42,24152.24,23871.47,24122.4,58543397
2025-05-22,24017.06,24040.21,23843.07,23999.17,56102048
2025-05-23,24026.69,24149.08,23274.85,23629.58,94211511
2025-05-26,24009.1,24050.6,23932.04,24027.65,37001252
2025-05-27,24054.16,24300.97,24027.75,24226.49,53474053
2025-05-28,24250.99,24325.97,24038.19,24038.19,57894043
2025-05-29,24255.01,24255.01,23917.06,23933.23,42765199
2025-05-30,23963.49,24181.53,23958.43,23997.48,110526999
2025-06-02,23865.38,23993.22,23740.09,23930.67,53147285
2025-06-03,24031.96,24101.55,23826.39,24091.62,50506787
2025-06-04,24253.69,24346.15,24129.32,24276.48,54182365
2025-06-05,24281.21,24479.42,24220.71,24323.58,53665737
2025-06-06,24304.37,24355.03,24214.53,24304.46,41235843
2025-06-09,24252.26,24289.51,24097.09,24174.32,35991447
2025-06-10,24156.53,24168.59,23964.77,23987.56,59033458
2025-06-11,23996.66,24151.39,23948.57,23948.9,62234229
2025-06-12,23768.05,23885.06,23618.85,23771.45,63798160
2025-06-13,23448.19,23557.71,23360.16,23516.23,73193596
2025-06-16,23589.47,23711.73,23505.54,23699.12,55479138
2025-06-17,23495.06,23550.99,23315.07,23434.65,55145205
2025-06-18,23426.97,23502.95,23262.64,23317.81,56994784
2025-06-19,23178.6,23254.86,23051.55,23057.38,41395296
2025-06-20,23197.12,23481.97,23187.48,23350.55,153405979
2025-06-23,23242.9,23385.6,23080.29,23269.01,50041424
2025-06-24,23689.19,23812.79,23580.21,23641.58,64086055
2025-06-25,23713.24,23713.24,23466.73,23498.33,57330600
2025-06-26,23609.3,23710.58,23521.1,23649.3,51563448
2025-06-27,23864.67,24040.55,23784.62,24033.22,57584630
2025-06-30,24109.15,24120.82,23854.31,23909.61,70785342
2025-07-01,23966.95,23978.3,23671.27,23673.29,61850162
2025-07-02,23789.06,23824.5,23620.42,23790.11,53394041
2025-07-03,23884.8,23944.1,23762.42,23934.13,46649516
2025-07-04,23833.14,23868.93,23702.65,23787.45,34239656
2025-07-07,23845.88,24073.67,23836.58,24073.67,39605982
2025-07-08,24135.74,24244.09,24063.42,24206.91,60829571
2025-07-09,24278.89,24609.15,24261.01,24549.56,60620386
2025-07-10,24638.58,24639.1,24450.97,24456.81,58767398
2025-07-11,24333.11,24369.05,24166.63,24255.31,45562570
2025-07-14,24038.29,24168.14,23975.46,24160.64,42197137
2025-07-15,24220.52,24266.81,24060.29,24060.29,41804808
2025-07-16,24011.99,24207.81,23968.95,24009.38,51694594
2025-07-17,24227.54,24374.5,24174.76,24370.93,47542118
2025-07-18,24483.66,24494.88,24251.36,24289.51,47707714
2025-07-21,24309.39,24335.26,24191.63,24307.8,42777095
2025-07-22,24236.09,24237.41,23921.83,24041.9,49151344
2025-07-23,24246.8,24310.96,24122.19,24240.82,80487821
2025-07-24,24502.99,24514.93,24235.44,24295.93,78043301
2025-07-25,24097.33,24252.59,24065.19,24217.5,54010418
2025-07-28,24424.67,24444.47,23942.12,23970.36,52660440
2025-07-29,24051.71,24310.0,24051.71,24217.37,50189594
2025-07-30,24169.26,24302.77,24138.21,24262.22,51182611
2025-07-31,24340.21,24433.4,24039.92,24065.47,61019179
2025-08-01,23786.91,23802.73,23380.94,23425.97,69500556
2025-08-04,23523.24,23783.79,23521.61,23757.69,50795957
2025-08-05,23914.32,23979.59,23785.08,23846.07,58127513
2025-08-06,23972.03,23996.89,23806.92,23924.36,66327837
2025-08-07,23910.87,24392.04,23899.46,24192.5,75743254
2025-08-08,24165.88,24268.82,24095.99,24162.86,55854680
2025-08-11,24206.26,24219.09,24030.05,24081.34,41591619
2025-08-12,24147.01,24156.25,23940.24,24024.78,55507091
2025-08-13,24156.51,24247.39,24138.79,24185.59,48580149
2025-08-14,24205.59,24409.35,24205.37,24377.5,47940937
2025-08-15,24530.7,24536.11,24327.6,24359.3,47125928
2025-08-18,24313.82,24336.74,24245.17,24314.77,40221604
2025-08-19,24357.23,24441.0,24283.55,24423.07,43710469
2025-08-20,24252.72,24369.87,24217.51,24276.97,44783580
2025-08-21,24274.42,24306.06,24179.91,24293.34,39351375
2025-08-22,24254.81,24444.41,24222.54,24363.09,44811726
2025-08-25,24232.02,24377.38,24224.15,24273.12,31480089
2025-08-26,24110.08,24263.11,24036.88,24152.87,78930627
2025-08-27,24174.62,24198.3,23977.99,24046.21,43590207
2025-08-28,24180.62,24206.53,23972.54,24039.92,42293032
2025-08-29,23949.43,24063.55,23881.98,23902.21,45696479
2025-09-01,24012.04,24046.85,23969.36,24037.33,26626358
2025-09-02,23975.34,23990.81,23482.67,23487.33,54299866
2025-09-03,23606.69,23705.95,23507.11,23594.8,53263969
2025-09-04,23664.79,23800.12,23610.45,23770.33,46982098
2025-09-05,23851.94,23854.68,23546.7,23596.98,46854556
2025-09-08,23771.86,23830.12,23655.47,23807.13,48616489
2025-09-09,23802.61,23859.56,23633.95,23718.45,44540289
2025-09-10,23837.17,23883.58,23600.47,23632.95,49060639
2025-09-11,23654.93,23787.18,23563.37,23703.65,47690873
2025-09-12,23767.34,23793.06,23604.36,23698.15,43830627
2025-09-15,23785.26,23855.35,23664.11,23748.86,40171139
2025-09-16,23711.99,23717.67,23317.3,23329.24,51217261
2025-09-17,23407.39,23476.71,23284.67,23359.18,50053919
2025-09-18,23577.06,23690.47,23557.81,23674.53,61099136
2025-09-19,23723.34,23785.24,23599.26,23639.41,212174087
2025-09-22,23567.49,23589.25,23424.44,23527.05,53681280
2025-09-23,23604.36,23723.2,23564.97,23611.33,48153513
2025-09-24,23601.5,23736.6,23499.98,23666.81,53341218
2025-09-25,23620.4,23629.37,23383.84,23534.83,55492699
2025-09-26,23601.19,23756.04,23579.25,23739.47,44731195
2025-09-29,23835.61,23835.61,23666.81,23745.06,38819989
2025-09-30,23726.43,23887.73,23676.36,23880.72,47602485
2025-10-01,23755.23,24162.23,23753.08,24113.62,53498998
2025-10-02,24293.83,24502.33,24247.45,24422.56,53588134
2025-10-03,24511.57,24524.11,24343.21,24378.8,38220204
2025-10-06,24357.59,24482.9,24269.94,24378.29,43413375
2025-10-07,24400.77,24452.93,24308.04,24385.78,41564735
2025-10-08,24382.66,24630.97,24360.65,24597.13,56849944
2025-10-09,24674.65,24771.34,24602.12,24611.25,41008517
2025-10-10,24664.23,24690.72,24241.46,24241.46,50177547
2025-10-13,24372.9,24448.77,24260.77,24387.93,36599781
2025-10-14,24169.03,24242.85,23986.93,24236.94,45092491
2025-10-15,24263.71,24339.27,24179.99,24181.37,43493522
2025-10-16,24188.15,24283.57,24051.85,24272.19,45218299
2025-10-17,23833.11,23987.75,23684.37,23830.99,68745486
2025-10-20,24035.19,24296.39,24026.59,24258.8,46610279
2025-10-21,24310.44,24384.24,24201.29,24330.03,42704192
2025-10-22,24296.16,24342.18,24138.25,24151.13,57734329
2025-10-23,24202.78,24222.84,24035.21,24207.79,51148153
2025-10-24,24275.99,24275.99,24145.26,24239.89,43268897
2025-10-27,24332.85,24348.59,24185.84,24308.78,43352745
2025-10-28,24228.18,24339.94,24188.37,24278.63,41976163
2025-10-29,24261.09,24322.9,24090.58,24124.21,63568214
2025-10-30,24187.82,24215.3,24034.75,24118.89,53698436
2025-10-31,24115.31,24119.66,23922.95,23958.3,42904351
2025-11-03,23990.34,24248.67,23982.28,24132.41,48002517
2025-11-04,23801.24,23974.31,23674.65,23949.11,51570118
2025-11-05,23774.55,24103.53,23732.38,24049.74,55196776
2025-11-06,23996.24,24058.73,23721.99,23734.02,58266991
2025-11-07,23801.97,23837.12,23452.89,23569.96,53123255
2025-11-10,23925.36,24022.69,23854.49,23959.99,52658873
2025-11-11,23990.14,24108.43,23952.41,24088.06,47222485
2025-11-12,24245.89,24441.28,24234.94,24381.46,75385342
2025-11-13,24367.7,24416.33,24027.92,24041.62,60792870
2025-11-14,23977.72,23992.12,23609.06,23876.55,64035987
2025-11-17,23890.48,23928.48,23529.73,23590.52,46448254
2025-11-18,23238.33,23358.75,23085.38,23180.53,61389371
2025-11-19,23180.93,23379.36,23105.55,23162.92,52349067
2025-11-20,23387.42,23512.49,23277.09,23278.85,47507294
2025-11-21,22963.17,23256.27,22943.06,23091.87,68913242
2025-11-24,23280.32,23392.22,23149.7,23239.18,129335852
2025-11-25,23254.46,23487.23,23139.27,23464.63,50045539
2025-11-26,23585.26,23727.25,23445.28,23726.22,45525255
2025-11-27,23732.81,23830.97,23708.42,23767.96,31160024
2025-11-28,23780.75,23883.98,23720.56,23836.79,37179105
2025-12-01,23731.29,23734.2,23433.48,23589.44,48999371
2025-12-02,23637.49,23792.05,23607.7,23710.86,50967216
2025-12-03,23788.82,23838.05,23646.43,23693.71,52921542
2025-12-04,23836.23,23930.52,23797.71,23882.03,52993448
